model_key,variant,datapath,head_placement,context,memory_mode,theoretical_payload_GBps,selected_sustained_GBps,pipeline_utilization,bandwidth_scenario_valid,projection_lanes,clock_MHz,memory_roof_tps,projection_compute_roof_tps,attention_compute_roof_tps,scale_multiply_roof_tps,vector_compute_roof_tps,topk_roof_tps,projection_weight_cycles_per_token,tl5_table_build_cycles_per_token,projection_total_cycles_per_token,final_bottleneck_roof_tps,final_bottleneck,classification,evidence_tag
bitnet-0.7b,bitnet-row16-kv4,direct_ternary,fully_on_card,512,dual_x64_payload,34.128,31,0.9,True,672,225,152.12208177640383,207.51206863840463,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,152.12208177640383,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,direct_ternary,fully_on_card,512,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,181.29244512779306,207.51206863840463,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,181.29244512779306,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,TL5,fully_on_card,512,dual_x64_payload,34.128,31,0.9,True,672,225,152.12208177640383,182.82660376657628,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,152.12208177640383,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,TL5,fully_on_card,512,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,181.29244512779306,182.82660376657628,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,181.29244512779306,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,direct_ternary,fully_on_card,2048,dual_x64_payload,34.128,31,0.9,True,672,225,115.10483827056493,207.51206863840463,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,115.10483827056493,memory_roof_tps,borderline,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,direct_ternary,fully_on_card,2048,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,137.1769129926983,207.51206863840463,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,137.1769129926983,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,TL5,fully_on_card,2048,dual_x64_payload,34.128,31,0.9,True,672,225,115.10483827056493,182.82660376657628,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,115.10483827056493,memory_roof_tps,borderline,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv4,TL5,fully_on_card,2048,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,137.1769129926983,182.82660376657628,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,137.1769129926983,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,direct_ternary,fully_on_card,512,dual_x64_payload,34.128,31,0.9,True,672,225,154.5491064164546,207.51206863840463,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,154.5491064164546,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,direct_ternary,fully_on_card,512,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,184.1848669658464,207.51206863840463,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,184.1848669658464,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,TL5,fully_on_card,512,dual_x64_payload,34.128,31,0.9,True,672,225,154.5491064164546,182.82660376657628,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,154.5491064164546,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,TL5,fully_on_card,512,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,184.1848669658464,182.82660376657628,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,182.82660376657628,projection_compute_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,direct_ternary,fully_on_card,2048,dual_x64_payload,34.128,31,0.9,True,672,225,116.48902285525486,207.51206863840463,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,116.48902285525486,memory_roof_tps,borderline,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,direct_ternary,fully_on_card,2048,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,138.8265236536639,207.51206863840463,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,138.8265236536639,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,TL5,fully_on_card,2048,dual_x64_payload,34.128,31,0.9,True,672,225,116.48902285525486,182.82660376657628,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,116.48902285525486,memory_roof_tps,borderline,PROJECTED_FPGA
bitnet-0.7b,bitnet-block16-kv4,TL5,fully_on_card,2048,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,138.8265236536639,182.82660376657628,381.4697265625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,138.8265236536639,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv3,direct_ternary,fully_on_card,512,dual_x64_payload,34.128,31,0.9,True,672,225,156.14723280407333,207.51206863840463,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,156.14723280407333,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv3,direct_ternary,fully_on_card,512,dual_x72_experimental_payload,38.394,35,0.95,True,672,225,186.08944411238127,207.51206863840463,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,0,1084274.2857142857,186.08944411238127,memory_roof_tps,comfortable,PROJECTED_FPGA
bitnet-0.7b,bitnet-row16-kv3,TL5,fully_on_card,512,dual_x64_payload,34.128,31,0.9,True,672,225,156.14723280407333,182.82660376657628,1525.87890625,585.9008811949253,105932.20338983051,22498.59383788513,1084274.2857142857,146400,1230674.2857142857,156.14723280407333,memory_roof_tps,comfortable,PROJECTED_FPGA
